stage,dataset,cell,n_members,picp90,mpiw,wis
e7,nasa,B0005,8,0.20238095238095238,1.2819288932862332,43.01237434466521
e7,nasa,B0006,8,0.32142857142857145,2.382927563871042,29.910513886393822
e7,nasa,B0007,8,0.10714285714285714,0.6261350583955884,40.71807369739657
e7,nasa,B0018,8,0.1893939393939394,1.3230798373990966,30.908448253282064
e7,calce,CS2_33,8,0.02771362586605081,1.7641710340726895,65.8421117658811
e7,calce,CS2_34,8,0.05161290322580645,0.7614193831384123,64.68139829230748
e7,calce,CS2_35,8,0.06652360515021459,2.042835208353654,56.63117278377955
e7,calce,CS2_36,8,0.044193216855087356,2.3699786283492927,67.34419035041434
e7,calce,CS2_37,8,0.05400192864030858,1.9285199855791353,65.6247470646195
e7,calce,CS2_38,8,0.05204460966542751,2.1427287825797867,64.195028836122
