stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e1,nasa,direct,B0005,42,15.717487335205078,17.825124877663463,-2.526353359222412,15.717487335205078,92.26190476190477,,,,
e2,nasa,coral,B0005,42,32.938079833984375,34.35915828149025,-12.102245330810547,32.938079833984375,99.40476190476191,,,,
e2,nasa,self_train,B0005,42,12.121570587158203,13.99836394423414,-1.1747796535491943,12.121570587158203,87.5,,,,
e2,nasa,dann,B0005,42,8.460283279418945,9.951473751861299,-0.09909558296203613,8.460283279418945,49.404761904761905,,,,
e3,nasa,hipif,B0005,42,2.7883318981758385,2.948238719817873,0.9035314073622691,13.743085861206055,89.88095238095238,0.0,7.478632478632479,0.6,14.0
e4,nasa,no_gate,B0005,42,2.448249384799201,2.7266364520753585,0.9174883780027125,3.9313900470733643,48.214285714285715,0.0,100.0,0.6,14.0
e4,nasa,no_anchor,B0005,42,2.7446138419368866,2.9148238182151105,0.905705736895408,11.68931770324707,88.69047619047619,0.0,7.264957264957266,0.6,14.0
e4,nasa,no_projection,B0005,42,2.8711610388123256,3.048308800946981,0.8968715307487172,15.172124862670898,90.47619047619048,0.0,7.051282051282051,0.6,14.0
e4,nasa,direct_proj,B0005,42,2.846880352368391,3.0358511548998695,0.8977127268714861,15.717487335205078,92.26190476190477,0.0,,,
e1,nasa,direct,B0006,42,12.698317527770996,15.652078586785656,-0.5519039630889893,12.698317527770996,85.71428571428571,,,,
e2,nasa,coral,B0006,42,12.811565399169922,15.556741530000748,-0.5330561399459839,12.811565399169922,95.83333333333334,,,,
e2,nasa,self_train,B0006,42,10.858180046081543,13.244726895158834,-0.1112372875213623,10.858180046081543,79.76190476190477,,,,
e2,nasa,dann,B0006,42,9.309192657470703,11.649450041924592,0.14033019542694092,9.309192657470703,55.35714285714286,,,,
e3,nasa,hipif,B0006,42,2.038165700564284,2.3551410444648977,0.9648638119341524,12.503138542175293,77.38095238095238,0.0,4.273504273504273,0.6,14.0
e4,nasa,no_gate,B0006,42,2.0922071878955224,2.507612463278798,0.9601671262386777,3.650169849395752,51.78571428571429,0.0,100.0,0.6,14.0
