stage,dataset,method,cell,seed,mae,rmse,r2,raw_pvr
e8,nasa,GRU_direct,B0005,42,15.603599548339844,16.553486455075237,-2.0411624908447266,0.0
e8,nasa,GRU_direct_proj,B0005,42,15.667534325288093,16.62229432631485,-2.0664973063403442,0.0
e8,nasa,GRU_direct,B0006,42,21.128273010253906,24.134538573348312,-2.689765691757202,0.0
e8,nasa,GRU_direct_proj,B0006,42,21.11845493473247,24.130253896870542,-2.688455800865842,0.0
e8,nasa,GRU_direct,B0007,42,16.465438842773438,18.100213722948308,-4.089046955108643,0.0
e8,nasa,GRU_direct_proj,B0007,42,16.4654381615775,18.099354559388626,-4.088563327175706,0.0
e8,nasa,GRU_direct,B0018,42,20.691688537597656,21.964388375036833,-7.105583190917969,0.0
e8,nasa,GRU_direct_proj,B0018,42,20.691688999985207,21.961345298662007,-7.103337463972791,0.0
e8,nasa,Transformer_direct,B0005,42,4.56118106842041,5.341584776410834,0.6833343505859375,11.904761904761903
e8,nasa,Transformer_direct_proj,B0005,42,4.444364367975006,5.208688568750255,0.6988953694063889,11.904761904761903
e8,nasa,Transformer_direct,B0006,42,7.233326435089111,8.903271843076496,0.4978654980659485,2.380952380952381
e8,nasa,Transformer_direct_proj,B0006,42,7.199061264934345,8.85783460188049,0.5029776323806547,2.380952380952381
e8,nasa,Transformer_direct,B0007,42,3.189452648162842,3.738176525725851,0.7829355597496033,19.047619047619047
e8,nasa,Transformer_direct_proj,B0007,42,2.8505304322537546,3.3610244926140944,0.8245261670349463,19.047619047619047
e8,nasa,Transformer_direct,B0018,42,7.498935699462891,7.849342085365862,-0.035172104835510254,0.0
e8,nasa,Transformer_direct_proj,B0018,42,7.591602724043265,7.874541981220904,-0.0418294986833474,0.0
e8,nasa,GRU_direct,B0005,123,6.817657470703125,8.623243070035883,0.17471885681152344,45.83333333333333
e8,nasa,GRU_direct_proj,B0005,123,7.335764731721789,8.890598245656896,0.12275152365537956,45.83333333333333
e8,nasa,GRU_direct,B0006,123,17.339096069335938,19.21590584900062,-1.3390662670135498,56.547619047619044
e8,nasa,GRU_direct_proj,B0006,123,16.970743803311603,18.910426515038495,-1.2652881285060023,56.547619047619044
e8,nasa,GRU_direct,B0007,123,18.06319808959961,19.452877131954992,-4.878096580505371,78.57142857142857
e8,nasa,GRU_direct_proj,B0007,123,17.260460789062005,18.784745892795883,-4.481250588271515,78.57142857142857
e8,nasa,GRU_direct,B0018,123,20.452211380004883,21.545363718301584,-6.7992658615112305,76.51515151515152
e8,nasa,GRU_direct_proj,B0018,123,20.206553080910954,21.245759738890577,-6.583864701101584,76.51515151515152
e8,nasa,Transformer_direct,B0005,123,4.579931259155273,5.298908394733886,0.6883741617202759,22.61904761904762
e8,nasa,Transformer_direct_proj,B0005,123,3.939525832354949,4.703490591626321,0.7544718955959586,22.61904761904762
e8,nasa,Transformer_direct,B0006,123,7.170860767364502,8.803475595249433,0.5090591907501221,10.119047619047619
e8,nasa,Transformer_direct_proj,B0006,123,6.938689476391578,8.643171342372952,0.5267756911330264,10.119047619047619
e8,nasa,Transformer_direct,B0007,123,3.8819820880889893,4.526569764378664,0.6817213892936707,20.238095238095237
e8,nasa,Transformer_direct_proj,B0007,123,3.643258444609011,4.191485473793881,0.7270991182478266,20.238095238095237
e8,nasa,Transformer_direct,B0018,123,7.224547863006592,7.710697313334335,0.0010738968849182129,0.0
e8,nasa,Transformer_direct_proj,B0018,123,7.364597777697512,7.7451113953498725,-0.007862720611792273,0.0
e8,nasa,GRU_direct,B0005,2024,13.830665588378906,15.107490934918108,-1.5330593585968018,53.57142857142857
e8,nasa,GRU_direct_proj,B0005,2024,13.811934364440095,15.010620797926313,-1.500679070386913,53.57142857142857
e8,nasa,GRU_direct,B0006,2024,23.74683380126953,26.74692182566879,-3.531775951385498,84.52380952380952
e8,nasa,GRU_direct_proj,B0006,2024,22.61370467687697,25.73520374214993,-3.1954255839966352,84.52380952380952
e8,nasa,GRU_direct,B0007,2024,19.146291732788086,20.90436247785301,-5.788016319274902,96.42857142857143
e8,nasa,GRU_direct_proj,B0007,2024,17.778929937453498,19.5055732516538,-4.909985901511194,96.42857142857143
e8,nasa,GRU_direct,B0018,2024,23.39232063293457,24.737073200509062,-9.281172752380371,95.45454545454545
e8,nasa,GRU_direct_proj,B0018,2024,22.114961681943953,23.42200463778108,-8.217097253470847,95.45454545454545
e8,nasa,Transformer_direct,B0005,2024,5.400351047515869,6.250262140498682,0.5664320588111877,2.380952380952381
e8,nasa,Transformer_direct_proj,B0005,2024,5.228107371727997,6.190623966572947,0.5746665869849195,2.380952380952381
e8,nasa,Transformer_direct,B0006,2024,9.716544151306152,11.396109308577506,0.17731422185897827,1.7857142857142856
e8,nasa,Transformer_direct_proj,B0006,2024,9.73582120107376,11.358845665657148,0.18268551085076856,1.7857142857142856
e8,nasa,Transformer_direct,B0007,2024,3.0911643505096436,3.6976803699627965,0.7876130938529968,15.476190476190476
e8,nasa,Transformer_direct_proj,B0007,2024,2.835810862709072,3.4104252749108497,0.8193299833429474,15.476190476190476
e8,nasa,Transformer_direct,B0018,2024,9.948195457458496,10.27920651056376,-0.7752734422683716,2.272727272727273
e8,nasa,Transformer_direct_proj,B0018,2024,10.077989761042634,10.319284684855708,-0.7891437358918423,2.272727272727273
e8,nasa,GRU_direct,B0005,7,9.725733757019043,10.171196183906957,-0.14816606044769287,17.857142857142858
e8,nasa,GRU_direct_proj,B0005,7,9.781171776898487,10.230687519526134,-0.16163661234421434,17.857142857142858
e8,nasa,GRU_direct,B0006,7,19.240888595581055,21.355551276248992,-1.8889656066894531,11.904761904761903
e8,nasa,GRU_direct_proj,B0006,7,19.2458252876847,21.366661128939626,-1.891972274342943,11.904761904761903
e8,nasa,GRU_direct,B0007,7,15.928751945495605,17.192197511471228,-3.591259479522705,0.0
e8,nasa,GRU_direct_proj,B0007,7,15.934293347135881,17.197174479434146,-3.5939176226962095,0.0
e8,nasa,GRU_direct,B0018,7,20.210744857788086,21.065108593331015,-6.455443382263184,29.545454545454547
e8,nasa,GRU_direct_proj,B0018,7,20.198364834604863,21.069406735988682,-6.458485656080346,29.545454545454547
e8,nasa,Transformer_direct,B0005,7,4.049764156341553,4.6166378410531985,0.7634558081626892,26.190476190476193
e8,nasa,Transformer_direct_proj,B0005,7,3.302501764940606,3.799741689843841,0.8397607884738229,26.190476190476193
e8,nasa,Transformer_direct,B0006,7,4.231558799743652,5.638421724675096,0.7986109256744385,4.761904761904762
e8,nasa,Transformer_direct_proj,B0006,7,4.141781963027042,5.5179372084411655,0.8071257240483035,4.761904761904762
e8,nasa,Transformer_direct,B0007,7,3.099423408508301,3.6501390300034453,0.7930393218994141,52.38095238095239
e8,nasa,Transformer_direct_proj,B0007,7,1.9562805587487853,2.2715359972514912,0.9198491273487012,52.38095238095239
e8,nasa,Transformer_direct,B0018,7,4.943422317504883,5.76263201183777,0.44205957651138306,0.0
e8,nasa,Transformer_direct_proj,B0018,7,5.109757863216319,5.8134782591120056,0.43217024027574624,0.0
e8,nasa,GRU_direct,B0005,99,17.073808670043945,18.33809105376276,-2.732234477996826,0.0
e8,nasa,GRU_direct_proj,B0005,99,17.27379289789887,18.53614353548876,-2.8132863525262226,0.0
e8,nasa,GRU_direct,B0006,99,21.6900577545166,24.89804282711984,-2.926912307739258,0.0
e8,nasa,GRU_direct_proj,B0006,99,21.638134776172574,24.849861460426904,-2.911728860393539,0.0
e8,nasa,GRU_direct,B0007,99,16.75118064880371,18.637637772744885,-4.3957366943359375,0.0
e8,nasa,GRU_direct_proj,B0007,99,16.75118182954334,18.573613833639776,-4.358729458971088,0.0
e8,nasa,GRU_direct,B0018,99,20.974884033203125,22.388375317678467,-7.421534538269043,0.0
e8,nasa,GRU_direct_proj,B0018,99,20.974883744210917,22.342976781599294,-7.387414635516441,0.0
e8,nasa,Transformer_direct,B0005,99,5.620096206665039,6.603342030863046,0.5160636305809021,45.23809523809524
e8,nasa,Transformer_direct_proj,B0005,99,3.6881558637600813,4.647000527968488,0.7603341834252815,45.23809523809524
