dataset,cell,seed,combo,mono,rate,floor,mae
calce,CS2_34,123,rate+floor,0,1,1,4.042005770382282
calce,CS2_34,123,mono,1,0,0,31.397598996002234
calce,CS2_34,123,mono+floor,1,0,1,3.395942706777554
calce,CS2_34,123,mono+rate,1,1,0,28.56769402996153
calce,CS2_34,123,mono+rate+floor,1,1,1,3.3958873476789484
calce,CS2_34,256,clip_only,0,0,0,27.592636206842236
calce,CS2_34,256,floor,0,0,1,4.093936057353605
calce,CS2_34,256,rate,0,1,0,25.803927814746324
calce,CS2_34,256,rate+floor,0,1,1,4.100205063567808
calce,CS2_34,256,mono,1,0,0,27.570581712256768
calce,CS2_34,256,mono+floor,1,0,1,3.4715673360059918
calce,CS2_34,256,mono+rate,1,1,0,25.776106578391083
calce,CS2_34,256,mono+rate+floor,1,1,1,3.4715673360059918
calce,CS2_34,1234,clip_only,0,0,0,28.499122683617376
calce,CS2_34,1234,floor,0,0,1,4.08031161568093
calce,CS2_34,1234,rate,0,1,0,26.189335641162653
calce,CS2_34,1234,rate+floor,0,1,1,4.063022122406732
calce,CS2_34,1234,mono,1,0,0,28.442846972641114
calce,CS2_34,1234,mono+floor,1,0,1,3.4424805749875373
calce,CS2_34,1234,mono+rate,1,1,0,26.122007278556467
calce,CS2_34,1234,mono+rate+floor,1,1,1,3.4311102769038153
calce,CS2_34,2024,clip_only,0,0,0,28.177708454747354
calce,CS2_34,2024,floor,0,0,1,4.086811585996813
calce,CS2_34,2024,rate,0,1,0,26.32706263939371
calce,CS2_34,2024,rate+floor,0,1,1,4.079044002784683
calce,CS2_34,2024,mono,1,0,0,28.14500986079262
calce,CS2_34,2024,mono+floor,1,0,1,3.4543103312610937
calce,CS2_34,2024,mono+rate,1,1,0,26.357611567642856
calce,CS2_34,2024,mono+rate+floor,1,1,1,3.4543103312610937
calce,CS2_34,2718,clip_only,0,0,0,28.116417093584616
calce,CS2_34,2718,floor,0,0,1,4.028238398774769
calce,CS2_34,2718,rate,0,1,0,26.727652409869243
calce,CS2_34,2718,rate+floor,0,1,1,4.026301857152621
calce,CS2_34,2718,mono,1,0,0,28.118075469040384
calce,CS2_34,2718,mono+floor,1,0,1,3.413831682212725
calce,CS2_34,2718,mono+rate,1,1,0,26.727024321347074
calce,CS2_34,2718,mono+rate+floor,1,1,1,3.413831682212725
calce,CS2_35,7,clip_only,0,0,0,22.60569826216145
calce,CS2_35,7,floor,0,0,1,4.432826654575711
calce,CS2_35,7,rate,0,1,0,21.019553861231717
calce,CS2_35,7,rate+floor,0,1,1,4.4118629499145845
calce,CS2_35,7,mono,1,0,0,22.467669976054594
calce,CS2_35,7,mono+floor,1,0,1,3.527660328338928
calce,CS2_35,7,mono+rate,1,1,0,20.90101500366649
calce,CS2_35,7,mono+rate+floor,1,1,1,3.5275401706477547
calce,CS2_35,42,clip_only,0,0,0,23.809095059341626
calce,CS2_35,42,floor,0,0,1,4.312922422583191
calce,CS2_35,42,rate,0,1,0,22.897522205629464
calce,CS2_35,42,rate+floor,0,1,1,4.312378809553789
calce,CS2_35,42,mono,1,0,0,23.19979177842405
calce,CS2_35,42,mono+floor,1,0,1,3.1915728734671633
calce,CS2_35,42,mono+rate,1,1,0,22.2582044078021
calce,CS2_35,42,mono+rate+floor,1,1,1,3.1915728734671633
calce,CS2_35,99,clip_only,0,0,0,19.73749154217765
calce,CS2_35,99,floor,0,0,1,5.840761564078372
calce,CS2_35,99,rate,0,1,0,18.766509843849665
calce,CS2_35,99,rate+floor,0,1,1,5.870487325064419
calce,CS2_35,99,mono,1,0,0,18.964760869463493
calce,CS2_35,99,mono+floor,1,0,1,4.638253655692985
calce,CS2_35,99,mono+rate,1,1,0,18.038351467000425
calce,CS2_35,99,mono+rate+floor,1,1,1,4.635744420673421
calce,CS2_35,123,clip_only,0,0,0,24.741513432351304
calce,CS2_35,123,floor,0,0,1,4.979898474244666
calce,CS2_35,123,rate,0,1,0,23.02469531728906
calce,CS2_35,123,rate+floor,0,1,1,5.003350037246326
calce,CS2_35,123,mono,1,0,0,23.256476440419082
calce,CS2_35,123,mono+floor,1,0,1,3.4255495130823532
calce,CS2_35,123,mono+rate,1,1,0,21.628817491885172
calce,CS2_35,123,mono+rate+floor,1,1,1,3.4176042262395527
calce,CS2_35,256,clip_only,0,0,0,22.48028740453106
calce,CS2_35,256,floor,0,0,1,4.807618697771501
calce,CS2_35,256,rate,0,1,0,21.36016684375422
calce,CS2_35,256,rate+floor,0,1,1,4.80959864408125
calce,CS2_35,256,mono,1,0,0,22.00982093776824
calce,CS2_35,256,mono+floor,1,0,1,3.7334161828411414
calce,CS2_35,256,mono+rate,1,1,0,20.891632233328988
calce,CS2_35,256,mono+rate+floor,1,1,1,3.7334161828411414
calce,CS2_35,1234,clip_only,0,0,0,22.913692392504778
calce,CS2_35,1234,floor,0,0,1,4.497625134819788
calce,CS2_35,1234,rate,0,1,0,21.37412945124775
calce,CS2_35,1234,rate+floor,0,1,1,4.4606696475254
calce,CS2_35,1234,mono,1,0,0,22.4772395180643
calce,CS2_35,1234,mono+floor,1,0,1,3.4453404512721146
calce,CS2_35,1234,mono+rate,1,1,0,20.97111381246696
calce,CS2_35,1234,mono+rate+floor,1,1,1,3.4160171102835855
calce,CS2_35,2024,clip_only,0,0,0,22.271446625050558
calce,CS2_35,2024,floor,0,0,1,4.570932364416755
calce,CS2_35,2024,rate,0,1,0,21.10456351288861
calce,CS2_35,2024,rate+floor,0,1,1,4.574352005683069
calce,CS2_35,2024,mono,1,0,0,22.050519567785425
calce,CS2_35,2024,mono+floor,1,0,1,3.6195647060653475
calce,CS2_35,2024,mono+rate,1,1,0,20.88180744564802
calce,CS2_35,2024,mono+rate+floor,1,1,1,3.6195647060653475
calce,CS2_35,2718,clip_only,0,0,0,23.55021617136288
calce,CS2_35,2718,floor,0,0,1,3.6617230640023566
calce,CS2_35,2718,rate,0,1,0,22.226119155087808
calce,CS2_35,2718,rate+floor,0,1,1,3.66284214017993
calce,CS2_35,2718,mono,1,0,0,23.554749087423406
calce,CS2_35,2718,mono+floor,1,0,1,2.8320379385775
calce,CS2_35,2718,mono+rate,1,1,0,22.235230616564916
calce,CS2_35,2718,mono+rate+floor,1,1,1,2.8316981972966864
calce,CS2_36,7,clip_only,0,0,0,22.462584441636842
calce,CS2_36,7,floor,0,0,1,4.657429494663197
calce,CS2_36,7,rate,0,1,0,20.977327491297938
calce,CS2_36,7,rate+floor,0,1,1,4.671851377894288
calce,CS2_36,7,mono,1,0,0,22.326488028683443
calce,CS2_36,7,mono+floor,1,0,1,4.271449914225711
calce,CS2_36,7,mono+rate,1,1,0,20.83006589951619
calce,CS2_36,7,mono+rate+floor,1,1,1,4.271449914225711
calce,CS2_36,42,clip_only,0,0,0,23.60597698686057
calce,CS2_36,42,floor,0,0,1,4.527042586902521
calce,CS2_36,42,rate,0,1,0,22.697554670739365
calce,CS2_36,42,rate+floor,0,1,1,4.53729803504451
calce,CS2_36,42,mono,1,0,0,22.800967172055337
calce,CS2_36,42,mono+floor,1,0,1,3.7995222575532863
calce,CS2_36,42,mono+rate,1,1,0,21.883366289394928
calce,CS2_36,42,mono+rate+floor,1,1,1,3.7995222575532863
calce,CS2_36,99,clip_only,0,0,0,20.19164031088536
calce,CS2_36,99,floor,0,0,1,6.579135962186497
calce,CS2_36,99,rate,0,1,0,19.28468616699764
calce,CS2_36,99,rate+floor,0,1,1,6.619324045593566
calce,CS2_36,99,mono,1,0,0,19.315013214441763
calce,CS2_36,99,mono+floor,1,0,1,5.807340855338392
calce,CS2_36,99,mono+rate,1,1,0,18.43346357996057
calce,CS2_36,99,mono+rate+floor,1,1,1,5.806326269077213
calce,CS2_36,123,clip_only,0,0,0,24.662470563710166
calce,CS2_36,123,floor,0,0,1,5.432458232916664
calce,CS2_36,123,rate,0,1,0,23.02246861585952
calce,CS2_36,123,rate+floor,0,1,1,5.464632745314337
calce,CS2_36,123,mono,1,0,0,22.8201407612473
calce,CS2_36,123,mono+floor,1,0,1,4.2023320315282335
calce,CS2_36,123,mono+rate,1,1,0,21.28856642195714
calce,CS2_36,123,mono+rate+floor,1,1,1,4.2015865066329185
calce,CS2_36,256,clip_only,0,0,0,22.4559298218338
calce,CS2_36,256,floor,0,0,1,5.168122117716241
calce,CS2_36,256,rate,0,1,0,21.40754376781397
calce,CS2_36,256,rate+floor,0,1,1,5.1921870897365405
calce,CS2_36,256,mono,1,0,0,21.912961146435443
calce,CS2_36,256,mono+floor,1,0,1,4.574885161478562
calce,CS2_36,256,mono+rate,1,1,0,20.838955425764752
calce,CS2_36,256,mono+rate+floor,1,1,1,4.574885161478562
calce,CS2_36,1234,clip_only,0,0,0,22.803246497127773
calce,CS2_36,1234,floor,0,0,1,4.764499065342155
calce,CS2_36,1234,rate,0,1,0,21.34135277308531
calce,CS2_36,1234,rate+floor,0,1,1,4.769858963356726
calce,CS2_36,1234,mono,1,0,0,22.293853813067084
calce,CS2_36,1234,mono+floor,1,0,1,4.187367650812571
calce,CS2_36,1234,mono+rate,1,1,0,20.84252475011509
calce,CS2_36,1234,mono+rate+floor,1,1,1,4.172887012451833
calce,CS2_36,2024,clip_only,0,0,0,22.187719645015015
calce,CS2_36,2024,floor,0,0,1,4.858165852058632
calce,CS2_36,2024,rate,0,1,0,21.095067246444795
calce,CS2_36,2024,rate+floor,0,1,1,4.884147938856814
calce,CS2_36,2024,mono,1,0,0,21.933185342673895
calce,CS2_36,2024,mono+floor,1,0,1,4.410904528153328
calce,CS2_36,2024,mono+rate,1,1,0,20.81764236286547
calce,CS2_36,2024,mono+rate+floor,1,1,1,4.410904528153328
calce,CS2_36,2718,clip_only,0,0,0,22.83681988691622
calce,CS2_36,2718,floor,0,0,1,3.561501043517441
calce,CS2_36,2718,rate,0,1,0,21.597986237105733
calce,CS2_36,2718,rate+floor,0,1,1,3.582613346599865
calce,CS2_36,2718,mono,1,0,0,22.86225270347907
calce,CS2_36,2718,mono+floor,1,0,1,3.2413714597876053
calce,CS2_36,2718,mono+rate,1,1,0,21.608398909477696
calce,CS2_36,2718,mono+rate+floor,1,1,1,3.241312118048427
calce,CS2_37,7,clip_only,0,0,0,22.0015484691241
calce,CS2_37,7,floor,0,0,1,4.41666128957622
calce,CS2_37,7,rate,0,1,0,20.59178205761776
calce,CS2_37,7,rate+floor,0,1,1,4.410504702522893
calce,CS2_37,7,mono,1,0,0,21.847971180573925
calce,CS2_37,7,mono+floor,1,0,1,3.9116528149164336
calce,CS2_37,7,mono+rate,1,1,0,20.430566411602037
calce,CS2_37,7,mono+rate+floor,1,1,1,3.9115804400963614
calce,CS2_37,42,clip_only,0,0,0,23.345417353778128
calce,CS2_37,42,floor,0,0,1,4.395731193022147
calce,CS2_37,42,rate,0,1,0,22.513843484974394
calce,CS2_37,42,rate+floor,0,1,1,4.395261700573819
calce,CS2_37,42,mono,1,0,0,22.60360909959501
calce,CS2_37,42,mono+floor,1,0,1,3.574654306927052
calce,CS2_37,42,mono+rate,1,1,0,21.753226957448664
calce,CS2_37,42,mono+rate+floor,1,1,1,3.574466840012715
calce,CS2_37,99,clip_only,0,0,0,19.244528907474233
calce,CS2_37,99,floor,0,0,1,6.036987029886672
calce,CS2_37,99,rate,0,1,0,18.289173597454987
calce,CS2_37,99,rate+floor,0,1,1,6.042121522106779
calce,CS2_37,99,mono,1,0,0,18.39820253886936
calce,CS2_37,99,mono+floor,1,0,1,5.201816013277748
