dataset,cell,seed,combo,mono,rate,floor,mae
nasa,B0006,7,mono+rate+floor,1,1,1,2.310430035807911
nasa,B0006,42,clip_only,0,0,0,12.692973863510858
nasa,B0006,42,floor,0,0,1,2.7922869532675625
nasa,B0006,42,rate,0,1,0,7.618692228766641
nasa,B0006,42,rate+floor,0,1,1,2.5587721498970004
nasa,B0006,42,mono,1,0,0,12.687315940856934
nasa,B0006,42,mono+floor,1,0,1,2.0076056128160653
nasa,B0006,42,mono+rate,1,1,0,7.62754420838647
nasa,B0006,42,mono+rate+floor,1,1,1,1.9385026525270814
nasa,B0006,99,clip_only,0,0,0,9.398364657447452
nasa,B0006,99,floor,0,0,1,3.2951762563867546
nasa,B0006,99,rate,0,1,0,6.4467760772978355
nasa,B0006,99,rate+floor,0,1,1,3.0827611258803826
nasa,B0006,99,mono,1,0,0,9.277871466402944
nasa,B0006,99,mono+floor,1,0,1,2.5622091940517655
nasa,B0006,99,mono+rate,1,1,0,6.427757449543061
nasa,B0006,99,mono+rate+floor,1,1,1,2.4898857309712814
nasa,B0006,123,clip_only,0,0,0,13.537703763870965
nasa,B0006,123,floor,0,0,1,3.009091841927023
nasa,B0006,123,rate,0,1,0,8.906328499310018
nasa,B0006,123,rate+floor,0,1,1,3.0032551501675098
nasa,B0006,123,mono,1,0,0,13.231072677180096
nasa,B0006,123,mono+floor,1,0,1,2.221013941592731
nasa,B0006,123,mono+rate,1,1,0,9.183445506749928
nasa,B0006,123,mono+rate+floor,1,1,1,2.2176903449295873
nasa,B0006,256,clip_only,0,0,0,13.185733045850482
nasa,B0006,256,floor,0,0,1,3.0332815248626757
nasa,B0006,256,rate,0,1,0,9.349088313451151
nasa,B0006,256,rate+floor,0,1,1,3.0332815248626757
nasa,B0006,256,mono,1,0,0,13.184913566544532
nasa,B0006,256,mono+floor,1,0,1,2.3062016556793714
nasa,B0006,256,mono+rate,1,1,0,9.350363102944026
nasa,B0006,256,mono+rate+floor,1,1,1,2.3062016556793714
nasa,B0006,1234,clip_only,0,0,0,11.72005576179141
nasa,B0006,1234,floor,0,0,1,2.924859967448212
nasa,B0006,1234,rate,0,1,0,8.053721452632264
nasa,B0006,1234,rate+floor,0,1,1,2.899188743663097
nasa,B0006,1234,mono,1,0,0,11.718398992346707
nasa,B0006,1234,mono+floor,1,0,1,2.180315313688842
nasa,B0006,1234,mono+rate,1,1,0,8.100872349718395
nasa,B0006,1234,mono+rate+floor,1,1,1,2.1699543970509234
nasa,B0006,2024,clip_only,0,0,0,12.799297968546549
nasa,B0006,2024,floor,0,0,1,2.9114272074700502
nasa,B0006,2024,rate,0,1,0,9.28634290746128
nasa,B0006,2024,rate+floor,0,1,1,2.8979157875300645
nasa,B0006,2024,mono,1,0,0,12.799297968546549
nasa,B0006,2024,mono+floor,1,0,1,2.139668463223369
nasa,B0006,2024,mono+rate,1,1,0,9.78667346106918
nasa,B0006,2024,mono+rate+floor,1,1,1,2.139668463223369
nasa,B0006,2718,clip_only,0,0,0,17.71357082185291
nasa,B0006,2718,floor,0,0,1,3.00395604669757
nasa,B0006,2718,rate,0,1,0,12.187806635032807
nasa,B0006,2718,rate+floor,0,1,1,2.9765384763472333
nasa,B0006,2718,mono,1,0,0,17.71357082185291
nasa,B0006,2718,mono+floor,1,0,1,2.179290412658721
nasa,B0006,2718,mono+rate,1,1,0,12.187806635032809
nasa,B0006,2718,mono+rate+floor,1,1,1,2.1668296183685403
nasa,B0007,7,clip_only,0,0,0,16.263698691413516
nasa,B0007,7,floor,0,0,1,2.778660766536137
nasa,B0007,7,rate,0,1,0,11.721785332336095
nasa,B0007,7,rate+floor,0,1,1,2.6969423194690285
nasa,B0007,7,mono,1,0,0,16.258123738425112
nasa,B0007,7,mono+floor,1,0,1,2.2153509246202385
nasa,B0007,7,mono+rate,1,1,0,12.160181146315884
nasa,B0007,7,mono+rate+floor,1,1,1,2.192735035806167
nasa,B0007,42,clip_only,0,0,0,19.025585946582613
nasa,B0007,42,floor,0,0,1,2.971664553472866
nasa,B0007,42,rate,0,1,0,13.036789674555909
nasa,B0007,42,rate+floor,0,1,1,2.987400834372514
nasa,B0007,42,mono,1,0,0,19.025585946582613
nasa,B0007,42,mono+floor,1,0,1,2.410562024088351
nasa,B0007,42,mono+rate,1,1,0,13.111369239090047
nasa,B0007,42,mono+rate+floor,1,1,1,2.513704472637085
nasa,B0007,99,clip_only,0,0,0,16.06647979645502
nasa,B0007,99,floor,0,0,1,2.903018662572413
nasa,B0007,99,rate,0,1,0,11.586820814556539
nasa,B0007,99,rate+floor,0,1,1,2.8849892521276517
nasa,B0007,99,mono,1,0,0,16.066479796455017
nasa,B0007,99,mono+floor,1,0,1,2.337567850997862
nasa,B0007,99,mono+rate,1,1,0,11.727756384623726
nasa,B0007,99,mono+rate+floor,1,1,1,2.4113107294640272
nasa,B0007,123,clip_only,0,0,0,17.393174648284912
nasa,B0007,123,floor,0,0,1,2.7873287677102248
nasa,B0007,123,rate,0,1,0,12.746319339422788
nasa,B0007,123,rate+floor,0,1,1,2.7310026849850457
nasa,B0007,123,mono,1,0,0,17.391212940216057
nasa,B0007,123,mono+floor,1,0,1,2.233548749436561
nasa,B0007,123,mono+rate,1,1,0,13.407964595759918
nasa,B0007,123,mono+rate+floor,1,1,1,2.225380385542593
nasa,B0007,256,clip_only,0,0,0,17.25638768786476
nasa,B0007,256,floor,0,0,1,2.8584391269576237
nasa,B0007,256,rate,0,1,0,13.877613146920318
nasa,B0007,256,rate+floor,0,1,1,2.841860611577352
nasa,B0007,256,mono,1,0,0,17.25638768786476
nasa,B0007,256,mono+floor,1,0,1,2.286594887558473
nasa,B0007,256,mono+rate,1,1,0,13.877613146920318
nasa,B0007,256,mono+rate+floor,1,1,1,2.2736429106079066
nasa,B0007,1234,clip_only,0,0,0,19.360708055042085
nasa,B0007,1234,floor,0,0,1,2.8576443397756712
nasa,B0007,1234,rate,0,1,0,14.456726504819596
nasa,B0007,1234,rate+floor,0,1,1,2.750975380164195
nasa,B0007,1234,mono,1,0,0,19.360708055042085
nasa,B0007,1234,mono+floor,1,0,1,2.2934163563561762
nasa,B0007,1234,mono+rate,1,1,0,14.493349328714384
nasa,B0007,1234,mono+rate+floor,1,1,1,2.248935163718118
nasa,B0007,2024,clip_only,0,0,0,15.459616615658714
nasa,B0007,2024,floor,0,0,1,2.7238808816166062
nasa,B0007,2024,rate,0,1,0,11.602089895634284
nasa,B0007,2024,rate+floor,0,1,1,2.659937833564049
nasa,B0007,2024,mono,1,0,0,15.454211098807203
nasa,B0007,2024,mono+floor,1,0,1,2.270901944844363
nasa,B0007,2024,mono+rate,1,1,0,12.427344059222275
nasa,B0007,2024,mono+rate+floor,1,1,1,2.2889325153529163
nasa,B0007,2718,clip_only,0,0,0,23.15784586043585
nasa,B0007,2718,floor,0,0,1,2.844533724817408
nasa,B0007,2718,rate,0,1,0,18.03914624263174
nasa,B0007,2718,rate+floor,0,1,1,2.7597239807733907
nasa,B0007,2718,mono,1,0,0,23.15784586043585
nasa,B0007,2718,mono+floor,1,0,1,2.278312568913714
nasa,B0007,2718,mono+rate,1,1,0,18.039146242631745
nasa,B0007,2718,mono+rate+floor,1,1,1,2.2177619648783256
nasa,B0018,7,clip_only,0,0,0,11.35822209444913
nasa,B0018,7,floor,0,0,1,2.8178707826105778
nasa,B0018,7,rate,0,1,0,6.804706482426063
nasa,B0018,7,rate+floor,0,1,1,2.600602843161353
nasa,B0018,7,mono,1,0,0,11.35822209444913
nasa,B0018,7,mono+floor,1,0,1,1.9838948738872122
nasa,B0018,7,mono+rate,1,1,0,7.026419680634669
nasa,B0018,7,mono+rate+floor,1,1,1,1.8757329582627043
nasa,B0018,42,clip_only,0,0,0,12.971305933865635
nasa,B0018,42,floor,0,0,1,3.2234167996576053
nasa,B0018,42,rate,0,1,0,8.115634255609386
nasa,B0018,42,rate+floor,0,1,1,3.138618503381564
nasa,B0018,42,mono,1,0,0,12.971305933865633
nasa,B0018,42,mono+floor,1,0,1,2.388272298226956
nasa,B0018,42,mono+rate,1,1,0,8.132296860484027
nasa,B0018,42,mono+rate+floor,1,1,1,2.534741931914481
nasa,B0018,99,clip_only,0,0,0,7.981004599368934
nasa,B0018,99,floor,0,0,1,3.0364023759060044
nasa,B0018,99,rate,0,1,0,5.8592394421959115
nasa,B0018,99,rate+floor,0,1,1,2.895419607384577
nasa,B0018,99,mono,1,0,0,7.981004599368934
nasa,B0018,99,mono+floor,1,0,1,2.2123165422721707
nasa,B0018,99,mono+rate,1,1,0,5.864060720217877
nasa,B0018,99,mono+rate+floor,1,1,1,2.2571045500031786
nasa,B0018,123,clip_only,0,0,0,13.382375139178652
nasa,B0018,123,floor,0,0,1,2.9037808837865633
nasa,B0018,123,rate,0,1,0,7.914022594872744
nasa,B0018,123,rate+floor,0,1,1,2.7114537945900126
nasa,B0018,123,mono,1,0,0,13.382375139178649
nasa,B0018,123,mono+floor,1,0,1,2.068636382355914
nasa,B0018,123,mono+rate,1,1,0,8.560700630910338
nasa,B0018,123,mono+rate+floor,1,1,1,1.9313756226513823
nasa,B0018,256,clip_only,0,0,0,12.653325832251346
nasa,B0018,256,floor,0,0,1,2.974308021115613
nasa,B0018,256,rate,0,1,0,7.846143635806171
nasa,B0018,256,rate+floor,0,1,1,2.7159104573975785
nasa,B0018,256,mono,1,0,0,12.653325832251342
nasa,B0018,256,mono+floor,1,0,1,2.1246703668573854
nasa,B0018,256,mono+rate,1,1,0,7.8505810348016904
nasa,B0018,256,mono+rate+floor,1,1,1,1.9076808956184692
nasa,B0018,1234,clip_only,0,0,0,11.589117483659225
nasa,B0018,1234,floor,0,0,1,2.9800590372314306
nasa,B0018,1234,rate,0,1,0,8.003232142272102
nasa,B0018,1234,rate+floor,0,1,1,2.757472768470006
nasa,B0018,1234,mono,1,0,0,11.589117483659225
nasa,B0018,1234,mono+floor,1,0,1,2.144914535800782
nasa,B0018,1234,mono+rate,1,1,0,8.006762223066659
nasa,B0018,1234,mono+rate+floor,1,1,1,1.9935238202147556
nasa,B0018,2024,clip_only,0,0,0,12.361408667130904
nasa,B0018,2024,floor,0,0,1,2.782639763687706
nasa,B0018,2024,rate,0,1,0,8.854656838693106
nasa,B0018,2024,rate+floor,0,1,1,2.570002366021947
nasa,B0018,2024,mono,1,0,0,12.361408667130906
nasa,B0018,2024,mono+floor,1,0,1,1.9486638549643405
nasa,B0018,2024,mono+rate,1,1,0,8.855410476346405
nasa,B0018,2024,mono+rate+floor,1,1,1,1.7997253163766949
nasa,B0018,2718,clip_only,0,0,0,17.044988603302926
nasa,B0018,2718,floor,0,0,1,3.0157264162088597
nasa,B0018,2718,rate,0,1,0,10.887004711234717
nasa,B0018,2718,rate+floor,0,1,1,2.818203226102302
nasa,B0018,2718,mono,1,0,0,17.044988603302926
nasa,B0018,2718,mono+floor,1,0,1,2.1805819147782106
nasa,B0018,2718,mono+rate,1,1,0,10.887004711234717
nasa,B0018,2718,mono+rate+floor,1,1,1,2.086331539125108
