stage,dataset,method,cell,seed,mae,rmse,r2
e0,evtol,LSTM,VAH10,42,7.278465270996094,9.7768349722799,0.5671807527542114
e0,evtol,GRU,VAH10,42,5.296082496643066,8.95340492649763,0.6370168328285217
e0,evtol,Transformer,VAH10,42,3.5895419120788574,8.652963613518493,0.6609687209129333
e0,evtol,HIPIF_lab,VAH10,42,5.302806377410889,11.855432712053958,0.3635784983634949
e0,evtol,CoulombCount,VAH10,42,5.984584149551469,14.210814745962617,0.08557524721081933
e0,evtol,LSTM,VAH07,42,11.065356254577637,14.008460077230172,-0.595608115196228
e0,evtol,GRU,VAH07,42,7.051912784576416,9.132555198471291,0.32184332609176636
e0,evtol,Transformer,VAH07,42,5.518768310546875,9.72559804769115,0.23090839385986328
e0,evtol,HIPIF_lab,VAH07,42,33.492271423339844,35.25605278264287,-9.106780052185059
e0,evtol,CoulombCount,VAH07,42,3.822578478362699,10.525559496886721,0.0991844796392598
e0,evtol,LSTM,VAH13,42,1.4218014478683472,2.0984942078472963,0.9880658984184265
e0,evtol,GRU,VAH13,42,1.72941255569458,3.9805285268680652,0.957060694694519
e0,evtol,Transformer,VAH13,42,2.7803335189819336,5.591263202299432,0.9152785539627075
e0,evtol,HIPIF_lab,VAH13,42,2.5991578102111816,4.6198920834310435,0.9421588182449341
e0,evtol,CoulombCount,VAH13,42,7.512125974011407,19.36529638101551,-0.01630001063569786
e0,evtol,LSTM,VAH11,42,1.998820424079895,3.5639401921178706,0.9590564370155334
e0,evtol,GRU,VAH11,42,1.5224130153656006,3.5750591353213896,0.9588005542755127
e0,evtol,Transformer,VAH11,42,1.5515159368515015,2.051424634009794,0.9864345192909241
e0,evtol,HIPIF_lab,VAH11,42,4.414425373077393,5.4239236001116975,0.9051686525344849
e0,evtol,CoulombCount,VAH11,42,6.053271824131078,17.390293659059274,0.025147695362908506
e0,evtol,LSTM,VAH05,42,1.6187423467636108,3.471873483734761,0.949843168258667
e0,evtol,GRU,VAH05,42,1.225020170211792,2.836114714999332,0.966530442237854
e0,evtol,Transformer,VAH05,42,1.0945892333984375,1.922989126915625,0.9846129417419434
e0,evtol,HIPIF_lab,VAH05,42,1.2348542213439941,2.6508856067302267,0.9707595109939575
e0,evtol,CoulombCount,VAH05,42,5.349970412163056,15.040526259799671,0.05869952300613057
e0,evtol,LSTM,VAH12,42,1.2851773500442505,6.448414854689763,0.8740153908729553
e0,evtol,GRU,VAH12,42,2.6679794788360596,7.579617634492351,0.8259371519088745
e0,evtol,Transformer,VAH12,42,1.2268129587173462,3.151463117342207,0.9699090719223022
e0,evtol,HIPIF_lab,VAH12,42,1.8733488321304321,8.654389219279953,0.7730739116668701
e0,evtol,CoulombCount,VAH12,42,6.524074707491767,18.057895332445607,0.012025590778524053
e0,evtol,LSTM,VAH01,42,8.391925811767578,16.532486809829532,0.35597890615463257
e0,evtol,GRU,VAH01,42,11.452461242675781,19.98566457063858,0.05884552001953125
e0,evtol,Transformer,VAH01,42,9.362190246582031,18.34777226450973,0.20678597688674927
e0,evtol,HIPIF_lab,VAH01,42,15.119102478027344,23.50929238861266,-0.3022754192352295
e0,evtol,CoulombCount,VAH01,42,13.673959942450567,23.11677645539989,-0.2591524152276712
e0,evtol,LSTM,VAH10,123,7.044131755828857,9.745867905073643,0.5699182152748108
e0,evtol,GRU,VAH10,123,4.827543258666992,8.729833852054268,0.6549183130264282
e0,evtol,Transformer,VAH10,123,2.231121778488159,5.845391843533106,0.8452832698822021
e0,evtol,HIPIF_lab,VAH10,123,4.859609603881836,7.488239222544425,0.7460960745811462
e0,evtol,CoulombCount,VAH10,123,5.984584149551469,14.210814745962617,0.08557524721081933
e0,evtol,LSTM,VAH07,123,8.323461532592773,11.996644504615329,-0.1702132225036621
e0,evtol,GRU,VAH07,123,5.412182807922363,9.426633933018133,0.277465283870697
e0,evtol,Transformer,VAH07,123,14.106484413146973,14.51284747040424,-0.7125792503356934
e0,evtol,HIPIF_lab,VAH07,123,33.646209716796875,35.3025359282977,-9.133447647094727
e0,evtol,CoulombCount,VAH07,123,3.822578478362699,10.525559496886721,0.0991844796392598
e0,evtol,LSTM,VAH13,123,1.641911506652832,2.351442961331771,0.9850155115127563
e0,evtol,GRU,VAH13,123,1.304530382156372,1.6991589765887616,0.9921757578849792
e0,evtol,Transformer,VAH13,123,2.176635980606079,5.17863184325207,0.9273218512535095
e0,evtol,HIPIF_lab,VAH13,123,2.645057439804077,4.326169229683164,0.9492798447608948
e0,evtol,CoulombCount,VAH13,123,7.512125974011407,19.36529638101551,-0.01630001063569786
e0,evtol,LSTM,VAH11,123,1.6631650924682617,3.3212395305131137,0.9644429683685303
e0,evtol,GRU,VAH11,123,1.6978604793548584,2.2350490593699566,0.9838972687721252
e0,evtol,Transformer,VAH11,123,1.8263808488845825,3.084358062233841,0.9693341851234436
